,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
595,176,196,610,0.3793103448275862,0.10344827586206896,340.2758620689655,1,26,2,3212,0.0,3.59743179,0.393239756,0.718665597,0.00499494197,3.60242673,0.398234698,0.723660539,-8.48976044,-4.89232865,-8.09652068,-7.77109484,0.6666666666666666,3.3333333333333335,0.3333333333333333,9.666666666666666,22.666666666666668,1,7,0.03987860640308038,0.0011387791715937858
596,862,819,2166,6.733333333333333,0.6,632.6,1,8,6,1026,0.0,0.58683935,0.39131238,5.28569393,17.98063387,18.56747322,18.37194625,23.2663278,4.57730223,5.16414158,4.96861461,9.86299616,2.5714285714285716,1.4285714285714286,0.5714285714285714,3.7142857142857144,13.571428571428571,2,3,0.0023544219304343647,6.339221494837192e-05
597,21878,699,33103,11.52,0.64,898.04,1,20,4,4960,0.0,0.97583762,0.60467868,1.19299521,3.77310793,4.74894555,4.37778661,4.96610314,0.7609046,1.73674222,1.36558328,1.95389981,0.4,2.6,0.0,9.0,22.8,1,1,-8.285609128313395e-19,3.65724317009838e-06
598,19910,944,288957,0.0,0.0,6.0,0,6,0,4042,0.0,0.15530951,0.0578575,1.48517159,2.70196528,2.85727479,2.75982278,4.18713687,0.13947105,0.29478056,0.19732855,1.62464264,0.0,0.0,0.0,0.0,0.0,0,0,7.651458339346389e-19,0.0
599,126,35,4536,5.9,2.3,3.6,8,1,1,4664,0.0,0.62061282,0.24141505,10.11390078,0.08613106,0.70674388,0.32754611,10.20003184,19.53399748,20.1546103,19.77541253,29.64789826,0.1111111111111111,3.111111111111111,0.5555555555555556,6.777777777777778,14.333333333333334,1,0,0.039878606403080344,0.0
600,2739,3754,11685,3.2,0.9,346.3,1,9,0,3601,0.0,0.52452212,0.61946014,0.56936204,0.33615259,0.86067472,0.95561274,0.90551464,7.31989866,7.84442078,7.9393588,7.8892607,0.0,1.0,0.0,8.0,37.0,0,4,-2.0075349155675957e-19,0.0
601,36,73,815,3.125,0.625,2.5,1,6,1,1247,0.0,0.76341347,0.60013514,0.96338653,0.3172262,1.08063967,0.91736134,1.28061273,0.93346938,1.69688285,1.53360452,1.89685591,1.0,2.5,0.5,10.0,23.5,2,0,0.02385919018707223,0.0
602,14,206,4414,4.176470588235294,0.5588235294117647,312.05882352941177,2,5,27,929,0.0,0.75364392,0.55461544,0.86592255,0.47819505,1.23183897,1.03281049,1.3441176,1.11369482,1.86733874,1.66831026,1.97961737,1.1724137931034482,1.6896551724137931,1.0,12.448275862068966,25.379310344827587,2,0,0.0028698706250499125,0.0
603,592,928,12956,194.24528301886792,14.735849056603774,58.56603773584906,33,2,18,3413,0.0,0.60568767,0.84080292,-5.64643799,-6.06400866,-5.45832099,-5.22320575,-11.71044665,22.02738318,22.63307086,22.8681861,16.3809452,0.5294117647058824,1.588235294117647,0.7058823529411765,7.098039215686274,16.88235294117647,26,1,0.12895057122082337,7.156005802825829e-05
604,14,114,203,12.0,1.1428571428571428,714.7142857142857,6,1,0,341,0.0,4.67018907,0.28999836,-2.00416883,0.51249455,5.18268361,0.80249291,-1.49167428,1.84855431,6.51874337,2.13855267,-0.15561452,0.0,2.0,1.0,7.333333333333333,17.333333333333332,0,0,-2.764535588476997e-19,0.0
