,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
140,13,19,1518,0.43820224719101125,0.11235955056179775,0.33707865168539325,3,12,74,242,1.051948051948052,5.12987012987013,0.012987012987012988,11.857142857142858,18.233766233766232,1,1,1.403441401842438e-18,0.0
141,19,196,1785,5.375,0.4375,364.625,10,6,0,2869,0.0,2.2,2.0,9.3,21.0,1,1,-2.714369803756056e-18,0.0
142,2,14,119,0.5882352941176471,0.0,122.11764705882354,5,12,0,426,0.0,1.0,0.0,4.6,10.8,0,1,9.817684985836639e-21,0.0
143,14,22,53,242.44444444444446,15.777777777777779,540.1111111111111,3,4,2,2397,0.4,1.2,0.4,5.2,13.4,19,1,0.09255561663873457,0.00154057667758615
144,1733,2779,100654,6.25,0.9166666666666666,11.25,3,9,0,3192,0.0,1.6666666666666667,0.3333333333333333,5.0,10.666666666666666,0,1,4.0415990646480376e-20,0.0
145,39,100,384,3.7419354838709675,0.03225806451612903,0.4838709677419355,31,0,0,1993,0.0,1.967741935483871,1.0,1.967741935483871,1.967741935483871,0,0,-1.9589162230036056e-19,0.0
146,436,476,1768,92.89795918367346,4.979591836734694,595.3673469387755,12,37,0,2652,0.25,2.25,0.8333333333333334,8.583333333333334,19.416666666666668,32,4,0.11724455213616819,0.0008516855827410631
147,22433,23016,18626,86.0,12.0,21.5,11,0,1,3410,1.25,1.75,2.0,7.916666666666667,16.75,7,0,0.01869763135735791,0.0
148,584,1557,1359,4.5,0.75,3.375,6,1,1,706,0.42857142857142855,2.2857142857142856,1.1428571428571428,9.142857142857142,21.142857142857142,1,1,-2.0519235246385827e-18,3.65724317009838e-06
149,3244,4774,18998,1.6363636363636365,0.09090909090909091,0.5454545454545454,11,0,0,363,0.0,1.0,1.0,1.3636363636363635,3.5454545454545454,0,0,-6.233492829455145e-20,0.0
150,62774,4216,283841,11.285714285714286,0.8571428571428571,1222.142857142857,1,6,0,4774,0.0,3.0,0.0,6.0,19.0,1,1,-1.471759575440971e-18,0.0
151,1114,1835,7131,2.625,0.625,150.375,2,2,4,4316,1.1666666666666667,3.3333333333333335,3.6666666666666665,12.333333333333334,37.0,0,0,9.071536781223586e-20,0.0
