screen_name,r,w
509,"[ 0.          0.5111613   0.06862332  2.56564764 -4.24878943 -3.73762814
 -4.18016611 -1.68314179  8.61405448  9.12521578  8.6826778  11.17970213
  0.759985    1.2711463   0.82860832  3.32563264]",[ 0.759985    8.61405448 -4.24878943  2.56564764  0.06862332  0.5111613 ]
274,"[0.         0.73711679 0.26254018 1.02368415 0.43153337 1.16865016
 0.69407356 1.45521752 0.56292119 1.30003798 0.82546138 1.58660534
 1.28266324 2.01978003 1.54520342 2.30634739]",[1.28266324 0.56292119 0.43153337 1.02368415 0.26254018 0.73711679]
287,"[  0.           0.14706884   0.96831135  12.7561561  -38.78256668
 -38.63549784 -37.81425533 -26.02641059 -27.4912595  -27.34419066
 -26.52294815 -14.73510341 113.85726728 114.00433613 114.82557864
 126.61342338]","[113.85726728 -27.4912595  -38.78256668  12.7561561    0.96831135
   0.14706884]"
815,"[0.00000000e+00 1.37155597e-01 7.75801249e-01 7.63896866e+00
 5.41062948e-02 1.91261892e-01 8.29907544e-01 7.69307496e+00
 3.11323525e-01 4.48479122e-01 1.08712477e+00 7.95029219e+00
 1.07227832e-03 1.38227876e-01 7.76873527e-01 7.64004094e+00]","[1.07227832e-03 3.11323525e-01 5.41062948e-02 7.63896866e+00
 7.75801249e-01 1.37155597e-01]"
426,"[ 0.          0.03874778  0.94870657  1.50755671  0.43967052  0.4784183
  1.38837709  1.94722722 -0.0090327   0.02971508  0.93967387  1.49852401
 -0.00486635  0.03388143  0.94384022  1.50269035]",[-0.00486635 -0.0090327   0.43967052  1.50755671  0.94870657  0.03874778]
461,"[0.         0.99577238 0.62750059 0.17313731 0.41325918 1.40903156
 1.04075977 0.58639649 0.194353   1.19012539 0.8218536  0.36749032
 1.45866263 2.45443501 2.08616322 1.63179994]",[1.45866263 0.194353   0.41325918 0.17313731 0.62750059 0.99577238]
345,"[0.         0.6078432  0.71903008 0.25791429 0.48550623 1.09334943
 1.20453631 0.74342052 0.61018833 1.21803153 1.32921841 0.86810262
 1.49576973 2.10361293 2.21479981 1.75368402]",[1.49576973 0.61018833 0.48550623 0.25791429 0.71903008 0.6078432 ]
35,"[ 0.          0.14844469  0.95918482  0.83006147  0.21313346  0.36157814
  1.17231828  1.04319493  0.71818444  0.86662912  1.67736926  1.54824591
 -0.12298091  0.02546377  0.83620391  0.70708056]",[-0.12298091  0.71818444  0.21313346  0.83006147  0.95918482  0.14844469]
225,"[ 0.          0.20022829  0.45175642  0.22625102 12.94375899 13.14398727
 13.3955154  13.17001001 -3.13048541 -2.93025713 -2.67872899 -2.90423439
  0.09416172  0.29439001  0.54591814  0.32041274]",[ 0.09416172 -3.13048541 12.94375899  0.22625102  0.45175642  0.20022829]
15,"[ 0.         -0.2008517   0.49633286  2.57085738  0.56445244  0.36360074
  1.0607853   3.13530982  0.62876892  0.42791722  1.12510178  3.1996263
  1.48603978  1.28518808  1.98237264  4.05689716]",[ 1.48603978  0.62876892  0.56445244  2.57085738  0.49633286 -0.2008517 ]
460,"[0.         0.96936188 0.3889749  1.05622047 0.38232551 1.35168739
 0.77130041 1.43854598 0.34166607 1.31102795 0.73064097 1.39788653
 0.85222702 1.8215889  1.24120192 1.90844749]",[0.85222702 0.34166607 0.38232551 1.05622047 0.3889749  0.96936188]
36,"[ 0.          1.1939006   0.92671637  0.39712139  1.95768893  3.15158953
  2.8844053   2.35481032  2.37006865  3.56396925  3.29678503  2.76719005
 -1.91773863 -0.72383803 -0.99102226 -1.52061724]",[-1.91773863  2.37006865  1.95768893  0.39712139  0.92671637  1.1939006 ]
132,"[0.         0.60871538 0.31617809 1.77669671 0.74010985 1.34882524
 1.05628794 2.51680656 0.25065407 0.85936945 0.56683216 2.02735078
 1.3340253  1.94274068 1.65020339 3.11072201]",[1.3340253  0.25065407 0.74010985 1.77669671 0.31617809 0.60871538]
950,"[  0.           4.68907047   0.69943345   0.88301394  -4.23144434
   0.45762613  -3.53201089  -3.3484304  -11.60473118  -6.91566071
 -10.90529773 -10.72171724  -0.48068793   4.20838254   0.21874552
   0.40232601]","[ -0.48068793 -11.60473118  -4.23144434   0.88301394   0.69943345
   4.68907047]"
70,"[ 0.          2.86730194  0.94771028 -2.07596459 18.11177801 20.97907995
 19.05948829 16.03581343 -3.11359122 -0.24628928 -2.16588094 -5.1895558
  0.97952387  3.8468258   1.92723415 -1.09644072]",[ 0.97952387 -3.11359122 18.11177801 -2.07596459  0.94771028  2.86730194]
